도로명코드,도로명,도로명로마자,읍면동일련번호,시도명,시도명로마자,시군구명,시군구명로마자,읍면동명,읍면동명로마자,읍면동구분,읍면동코드
411114322106,서부로2197번길,"Seobu-ro 2197beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",율전동,Yuljeon-dong,1,132
411114322107,서부로2198번길,"Seobu-ro 2198beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322107,서부로2198번길,"Seobu-ro 2198beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",천천동,Cheoncheon-dong,1,133
411114322108,서부로2207번길,"Seobu-ro 2207beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322108,서부로2207번길,"Seobu-ro 2207beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",율전동,Yuljeon-dong,1,132
411114322109,송원로13번길,"Songwon-ro 13beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322109,송원로13번길,"Songwon-ro 13beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322110,송원로14번길,"Songwon-ro 14beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322110,송원로14번길,"Songwon-ro 14beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322111,송원로1번길,"Songwon-ro 1beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322111,송원로1번길,"Songwon-ro 1beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322112,송원로23번길,"Songwon-ro 23beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322112,송원로23번길,"Songwon-ro 23beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322113,송원로24번길,"Songwon-ro 24beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322113,송원로24번길,"Songwon-ro 24beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322114,송원로41번길,"Songwon-ro 41beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322114,송원로41번길,"Songwon-ro 41beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322115,송원로59번길,"Songwon-ro 59beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322115,송원로59번길,"Songwon-ro 59beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322116,송원로86번길,"Songwon-ro 86beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322116,송원로86번길,"Songwon-ro 86beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322117,송원로92번길,"Songwon-ro 92beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322117,송원로92번길,"Songwon-ro 92beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322118,송정로104번길,"Songjeong-ro 104beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322118,송정로104번길,"Songjeong-ro 104beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322119,송정로118번길,"Songjeong-ro 118beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322119,송정로118번길,"Songjeong-ro 118beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322120,송정로130번길,"Songjeong-ro 130beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322120,송정로130번길,"Songjeong-ro 130beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322121,송정로138번길,"Songjeong-ro 138beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322121,송정로138번길,"Songjeong-ro 138beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322122,송정로150번길,"Songjeong-ro 150beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322122,송정로150번길,"Songjeong-ro 150beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322123,송정로167번길,"Songjeong-ro 167beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322123,송정로167번길,"Songjeong-ro 167beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322124,송정로168번길,"Songjeong-ro 168beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322124,송정로168번길,"Songjeong-ro 168beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322125,송정로177번길,"Songjeong-ro 177beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322125,송정로177번길,"Songjeong-ro 177beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322126,송정로182번길,"Songjeong-ro 182beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322126,송정로182번길,"Songjeong-ro 182beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322127,송정로184번길,"Songjeong-ro 184beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322127,송정로184번길,"Songjeong-ro 184beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322128,송정로186번길,"Songjeong-ro 186beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322128,송정로186번길,"Songjeong-ro 186beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322129,송정로187번길,"Songjeong-ro 187beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322129,송정로187번길,"Songjeong-ro 187beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322130,송정로190번길,"Songjeong-ro 190beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322130,송정로190번길,"Songjeong-ro 190beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322131,송정로192번길,"Songjeong-ro 192beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322131,송정로192번길,"Songjeong-ro 192beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",조원동,Jowon-dong,1,136
411114322132,송정로21번길,"Songjeong-ro 21beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322132,송정로21번길,"Songjeong-ro 21beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322133,송정로24번길,"Songjeong-ro 24beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322133,송정로24번길,"Songjeong-ro 24beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322134,송정로34번길,"Songjeong-ro 34beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322134,송정로34번길,"Songjeong-ro 34beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322135,송정로46번길,"Songjeong-ro 46beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322135,송정로46번길,"Songjeong-ro 46beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322136,송정로47번길,"Songjeong-ro 47beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322136,송정로47번길,"Songjeong-ro 47beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322137,송정로59번길,"Songjeong-ro 59beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322137,송정로59번길,"Songjeong-ro 59beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",송죽동,Songjuk-dong,1,135
411114322138,송정로60번길,"Songjeong-ro 60beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322138,송정로60번길,"Songjeong-ro 60beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322139,송정로76번길,"Songjeong-ro 76beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322139,송정로76번길,"Songjeong-ro 76beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322140,송정로90번길,"Songjeong-ro 90beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322140,송정로90번길,"Songjeong-ro 90beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",정자동,Jeongja-dong,1,130
411114322141,수성로244번길,"Suseong-ro 244beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
411114322141,수성로244번길,"Suseong-ro 244beon-gil",01,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",상광교동,Sanggwanggyo-dong,1,138
411114322142,수성로245번길,"Suseong-ro 245beon-gil",00,경기도,Gyeonggi-do,"수원시 장안구","Jangan-gu, Suwon-si",,,2,
